twitt_id; date; user_id; user_name; text
354377510743588865; "Mon Jul 08 231237 0000 2013"; 22471083; "Aidan"; "Getting home in time has never felt so good before. Stay safe and take shelter if necessary, everyone! #stormTO"
354378552763887616; "Mon Jul 08 231645 0000 2013"; 14263421; "Chris Wardman"; "Power back at King/Bathurst.Appliances flashing 1200.#TOstorm"
354378599320649731; "Mon Jul 08 231656 0000 2013"; 179234970; "Robin"; "....Wait...I did watch #DayAfterTomorrow a few days ago... Could this be.. Noooooooooo #stormTO"
354379256417103873; "Mon Jul 08 231933 0000 2013"; 15068060; "Jason Chambers"; "Anyone in the area of York and Queens Quay know if the streets flooded? #stormto IT guy concerned about his computer equipment."
354379738980155392; "Mon Jul 08 232128 0000 2013"; 15068060; "Jason Chambers"; "clickflickca casiestewart Trying to find out of the roads/streets flooded. Lost power at the office and Im the IT guy."
354117749552852992; "Mon Jul 08 060025 0000 2013"; 17874892; "Kim Johnston"; "Mark the calendar, Alberta Flood Aid concert is coming.     http//t.co/KzN83Na8qu"
354268341449392129; "Mon Jul 08 155849 0000 2013"; 307572344; "The Nick"; "Please check out this Facebook group for #yyc guitarist Amos Garrett who took a hit in the flood. https//t.co/y4GU7IyIIC #abflood #yycflood"
354312618258870273; "Mon Jul 08 185445 0000 2013"; 184106405; "Chickwagon"; "2NIGHTS Flood Buckers animal theme??? Jaguar wknd up for grabs, zebra print boots optional http//t.co/qH7a5y2Ykd http//t.co/CtUVAhQAQd"
354342809031016451; "Mon Jul 08 205443 0000 2013"; 276883922; ""; "jannahxo lmao  you all need to calm down lol we are doing flood relief and providing security in this town im putting in work no snitching"
354351275187507200; "Mon Jul 08 212822 0000 2013"; 62905332; "CT"; "Flood everywhere"
354358690465316864; "Mon Jul 08 215750 0000 2013"; 17766454; "shane"; "CityNews ceiling tiles falling from the Bay at #HillcrestMall in #RichmondHill due to storm. #tostorm YorkRegion"
354359333024305153; "Mon Jul 08 220023 0000 2013"; 19091344; "Colin"; "First flood tragedy felt around for Cheetos in the dark. Found them. Lifted them upside down. Cheetos on the floor. When will it end???"
354362088690429954; "Mon Jul 08 221120 0000 2013"; 21254291; "A,"; "Rexdale is getting beeeeeat up #TOstorm hope it calms down before it heads east"
354362191257927681; "Mon Jul 08 221144 0000 2013"; 126173; "Jennie R.F."; "portablecity henryfaber MrAlexBethke I would recommend staying home! Streets are flooded and power is flickering ominously."
354362477384962048; "Mon Jul 08 221253 0000 2013"; 17450799; "HMY SYeD"; "Im in #CBC Mother ship Atrium, the power just went out! #darkTO #stormTO"
354364376540655617; "Mon Jul 08 222025 0000 2013"; 260827091; "John Harman"; "PMOMacDougall davidakin True amp, grossly inappropriate for #PM #Harper to pull resources away from #AB #Flood disaster for his photo op"
354365219700613120; "Mon Jul 08 222346 0000 2013"; 8388792; "Bartek Ciszkowski"; "MOTHER NATURE beerboozebites Holy crap  SERIOUS flood at King St West train bridge! http//t.co/twegOYnH33"
354365406925946880; "Mon Jul 08 222431 0000 2013"; 15159774; "Fish"; "Jesus! RT beerboozebites Holy crap  SERIOUS flood at King St West train bridge! http//t.co/pTPdIjVUZY"
354366186651267074; "Mon Jul 08 222737 0000 2013"; 12499692; "Michael Caputo"; "Whos going to make the Rob ford swimming in the TTC flood water meme image/gif?! #topoli #toronto"
